title,number of ratings
Caveman,1
Cecil B. Demented,3
Cedar Rapids,4
Celebrity,10
Celeste & Jesse Forever,1
Cellular,11
Celtic Pride,2
Cemetery Junction,3
Cemetery Man,8
Center Stage,12
Central Intelligence,1
Central Station,11
Centurion,1
Certified Copy,2
Chain Reaction,13
Chan Is Missing,1
Chances Are,1
Changeling,6
Changing Lanes,10
Chaos,3
Chaos Theory,1
Chappie,6
Character,3
Charade,27
Chariots of Fire,42
Charlie Bartlett,4
Charlie Countryman,1
Charlie St. Cloud,1
Charlie Wilson's War,7
Charlie and the Chocolate Factory,47
Charlie's Angels,79
Charlie's Angels: Full Throttle,24
Charlie's Country,1
Charlotte's Web,27
Charly,3
Chasers,1
Chasing Amy,65
Chasing Papi,1
Che: Part One,2
Che: Part Two,2
Cheap Thrills,1
Cheaper by the Dozen,8
Cheaper by the Dozen 2,1
Cheech & Chong's Next Movie,2
Cheech & Chong's The Corsican Brothers,1
Cheetah,1
Chef,6
Chelsea Walls,2
Cherish,1
Cherry 2000,1
Cherrybomb,1
Chicago,51
Chicago 10,1
Chicken Little,6
Chicken Run,99
Child's Play,10
Child's Play 2,5
Child's Play 3,4
Children of Heaven,5
Children of Men,43
Children of Paradise,4
Children of a Lesser God,15
Children of the Corn,11
Children of the Corn II: The Final Sacrifice,1
Children of the Corn III: Urban Harvest,2
Children of the Corn IV: The Gathering,2
Children of the Damned,3
Children of the Revolution,4
Chill Factor,1
Chilly Scenes of Winter,1
Chinatown,76
Chinese Take-Out,1
Chisum,1
Chitty Chitty Bang Bang,5
Chocolat,48
Chocolate,2
Choices,1
Choke,2
Choose Me,1
Chop Shop,2
Chopper,3
Christine,8
Chronicle,10
Chronicles,1
Chuck & Buck,5
Chuck Berry: Hail! Hail! Rock 'n' Roll,1
Chungking Express,7
"Ciao, Professore!",1
Cimarron,1
Cinderella,58
Cinderella Man,19
Cinderfella,1
Cinema Paradiso,46
Cinemania,1
Circle of Friends,22
Cirque du Freak: The Vampire's Assistant,2
Citizen Kane,85
Citizen Ruth,8
Citizen X,1
Citizen's Band,1
Citizenfour,3
City Hall,21
City Heat,1
City Island,4
City Lights,23
City Slickers,28
City Slickers II: The Legend of Curly's Gold,63
City of Angels,23
City of Ember,2
City of God,69
City of Hope,1
City of Industry,1
City of Men,3
Clambake,1
Clapham Junction,1
Clara's Heart,2
Clash by Night,1
Clash of the Titans,13
Class,6
Class Reunion,2
Class of Nuke 'Em High,2
Clay Pigeons,5
Clean Slate,7
Clean and Sober,3
Cleaner,2
Cleanskin,1
Clear and Present Danger,115
Cleopatra,2
Clerks,109
Clerks II,18
Click,10
Cliffhanger,106
Clockers,8
Clockstoppers,2
Clockwatchers,6
Clockwise,2
Close Encounters of the Third Kind,62
Close Range,1
Closer,19
Cloud Atlas,14
Cloudy with a Chance of Meatballs,9
Cloudy with a Chance of Meatballs 2,1
Cloverfield,19
Club Dread,1
Clue,19
Clueless,120
Coach Carter,2
Coal Miner's Daughter,8
Cobb,2
Cobra,1
Cocaine Cowboys,4
Cocaine Cowboys II: Hustlin' with the Godmother,1
Cocaine Cowboys: Reloaded,1
Cocktail,6
Cocoon,43
Cocoon: The Return,8
Code 46,2
Code Unknown,3
Code of Silence,1
Coffee Town,1
Coffee and Cigarettes,7
Coherence,3
Cold Comes the Night,1
Cold Comfort Farm,16
Cold Creek Manor,1
Cold Mountain,16
Cold Souls,1
Cold in July,1
Collapse,1
Collateral,40
Collateral Damage,3
College,3
Colombiana,3
Colonel Chabert,1
Color of Night,5
Colors,4
Coma,6
Comandante,1
Combat Shock,1
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1
Come See the Paradise,3
Come and See,2
Comedian,4
Comedian Harmonists,1
Comedy Central Roast of James Franco,1
Comet,1
Comet in Moominland,2
Comfort and Joy,1
Coming Home,13
Coming to America,24
Commando,5
Common Threads: Stories from the Quilt,1
Communion,2
Company Man,1
Compulsion,1
Con Air,59
Conan the Barbarian,24
Conan the Destroyer,5
Conception,1
Concert for George,2
Concussion,1
Condorman,6
Coneheads,55
Confessions,2
Confessions of a Dangerous Mind,32
Confessions of a Shopaholic,4
Confessions of a Teenage Drama Queen,3
Confidence,3
Congo,63
Connie and Carla,1
Conquest of the Planet of the Apes,7
Conspiracy,1
Conspiracy Theory,44
Constantine,25
Contact,92
Contagion,8
Contamination,1
Contempt,3
Continental Divide,1
Contraband,4
Contracted: Phase II,1
Control,7
Control Room,3
Convoy,1
Coogan's Bluff,2
Cookie's Fortune,9
Cool Hand Luke,46
Cool Runnings,29
Cool World,1
Cool as Ice,1
Cop Car,1
Cop Land,19
Cop Out,6
Cops,1
Cops & Robbersons,4
Copycat,38
Coraline,12
Corman's World: Exploits of a Hollywood Rebel,1
Corpse Bride,21
"Corrina, Corrina",13
Cosi,3
Country,3
Country Life,2
Coup de Torchon,1
Couples Retreat,1
Courage Under Fire,31
Courageous,1
Cousin Bette,1
"Cousin, Cousine",1
Cowboy Bebop: The Movie,16
Cowboys & Aliens,8
Coyote Ugly,27
Cradle Will Rock,6
Crank,7
Crank: High Voltage,4
Crash,57
Crazy Heart,7
Crazy Love,1
Crazy in Alabama,2
"Crazy, Stupid, Love.",14
Crazy/Beautiful,9
Creature Comforts,10
Creature from the Black Lagoon,5
Creed,6
Creep,1
Creepshow,15
Creepshow 2,5
Cries and Whispers,5
Crime + Punishment in Suburbia,1
Crime Story,1
Crimes and Misdemeanors,28
Crimes of Passion,1
Crimes of the Heart,6
Criminal Law,1
Criminal Lovers,1
Crimson Rivers II: Angels of the Apocalypse,1
Crimson Tide,80
Criss Cross,1
Critters,4
Critters 2,1
Crocodile Dundee,60
Crocodile Dundee II,22
Crocodile Dundee in Los Angeles,5
Cronos,2
Crooklyn,7
Cropsey,1
Cross of Iron,1
Crossfire,1
Crossing Delancey,4
Crossover,1
Crossroads,6
"Crouching Tiger, Hidden Dragon",114
Croupier,14
Crows Zero,2
Cruel Intentions,51
Cruising,2
Crumb,33
Cry Freedom,2
"Cry, the Beloved Country",6
Cry-Baby,4
Cry_Wolf,1
Crystal Fairy & the Magical Cactus,1
Cría Cuervos,2
Cube,21
Cube²: Hypercube,1
Cujo,9
Cul-de-sac,1
Cure,1
Curious George,1
Curly Top,1
Curse of the Golden Flower,2
Curse of the Puppet Master,1
Cutter's Way,2
Cutthroat Island,11
Cyclo,4
Cypher,3
Cyrano de Bergerac,11
Cyrus,2
Czech Dream,1
D.A.R.Y.L.,1
D.O.A.,6
D2: The Mighty Ducks,10
D3: The Mighty Ducks,7
Da Hip Hop Witch,1
Daddy Day Camp,1
Daddy Day Care,2
Daddy's Home,2
Dallas Buyers Club,21
Damage,2
Damien: Omen II,5
Damn Yankees!,2
Dan in Real Life,6
Dance Flick,1
Dance with Me,4
Dance with a Stranger,1
Dancer in the Dark,23
"Dancer, Texas Pop. 81",1
Dances with Wolves,202
Dancing in September,1
Dangerous Beauty,3
Dangerous Game,1
Dangerous Ground,1
Dangerous Liaisons,34
Dangerous Minds,42
Daniel Tosh: Completely Serious,1
Danny Collins,1
Dante's Hell Animated,1
Dante's Peak,22
Darby O'Gill and the Little People,8
Daredevil,28
Darfur Now,1
Dark Blue,1
Dark Blue Almost Black,1
Dark Blue World,1
Dark City,51
Dark Days,1
Dark Habits,1
Dark Passage,2
Dark Shadows,6
Dark Tide,1
Dark Touch,1
Dark Victory,3
Dark Water,5
Darkman,2
Darkman II: The Return of Durant,1
Darkness Falls,3
Darling,1
Das Boot,51
Date Movie,5
Date Night,6
Date With an Angel,1
Date and Switch,1
Dave,90
Dave Chappelle's Block Party,1
David and Lisa,1
"Davy Crockett, King of the Wild Frontier",5
Dawn of the Dead,35
Dawn of the Planet of the Apes,8
Day & Night,2
Day Watch,1
Day for Night,3
Day of Wrath,1
Day of the Dead,6
Daybreakers,9
Daylight,12
Days of Heaven,6
Days of Thunder,19
Days of Wine and Roses,6
Dazed and Confused,37
De-Lovely,3
Dead Again,24
Dead Calm,15
Dead Leaves,1
Dead Man,11
Dead Man Walking,104
Dead Man on Campus,6
Dead Man's Shoes,2
Dead Men Don't Wear Plaid,15
Dead Poets Society,95
Dead Presidents,9
Dead Reckoning,1
Dead Ringer,1
Dead Ringers,12
Dead Set,1
Dead Silence,1
Dead Snow,2
Dead Tired,1
Dead or Alive,1
Deadfall,2
Deadgirl,1
Deadly Friend,2
Deadpool,18
Deadtime Stories,1
Deal,2
Dear Frankie,4
Dear God,3
Dear Jesse,1
Dear John,2
Dear White People,1
Dear Zachary: A Letter to a Son About His Father,5
Death Becomes Her,21
Death Note,1
Death Proof,13
Death Race,4
Death Race 2000,3
Death Sentence,1
Death Wish,7
Death Wish 2,2
Death Wish 3,1
Death Wish 5: The Face of Death,1
Death and the Maiden,12
Death at a Funeral,8
Death in Venice,1
Death in the Garden,1
Death of a Superhero,1
Death on the Nile,5
Death to Smoochy,4
Deathgasm,1
Deathtrap,4
Deceiver,1
December Boys,2
Deconstructing Harry,16
Dedication,1
Deep Blue Sea,34
Deep Impact,48
Deep Red,2
Deep Rising,4
Deep Water,1
DeepStar Six,3
Def Jam's How to Be a Player,1
Def-Con 4,1
Defending Your Life,18
Defendor,2
Defiance,1
"Definitely, Maybe",6
Defying Gravity,1
Delicatessen,30
Delirious,4
Deliver Us from Eva,1
Deliver Us from Evil,3
Deliverance,32
Delivery Man,1
Delta of Venus,1
Demolition Man,95
Demonlover,1
Demons,1
Denise Calls Up,3
Dennis the Menace,1
Departures,5
Derailed,4
Dersu Uzala,4
Descongelate!,1
Desert Bloom,4
Desert Blue,3
Desert Hearts,2
Desk Set,4
Desperado,63
Desperate Living,2
Desperate Measures,4
Desperately Seeking Susan,35
Despicable Me,16
Despicable Me 2,8
Destination Tokyo,1
Destiny Turns on the Radio,1
Destroy All Monsters,1
Destry Rides Again,2
Deterrence,1
Detour,2
Detroit Rock City,6
Deuce Bigalow: European Gigolo,2
Deuce Bigalow: Male Gigolo,22
Devil,2
Devil in a Blue Dress,26
Devil's Playground,1
Diabolique,23
Dial M for Murder,26
Diamond Men,1
Diamonds Are Forever,23
Diary of a Chambermaid,1
Diary of a Nymphomaniac,1
Diary of a Wimpy Kid,1
Diary of a Wimpy Kid: Rodrick Rules,1
Dick,22
Dick Tracy,27
Did You Hear About the Morgans?,1
Die Another Day,31
Die Hard,151
Die Hard 2,66
Die Hard: With a Vengeance,142
Different for Girls,2
Dig!,3
Digimon: The Movie,1
Dim Sum: A Little Bit of Heart,1
Dimples,1
Diner,22
Dinner Rush,4
Dinner at Eight,1
Dinner for Schmucks,5
Dinner with Friends,1
Dinosaur,13
Dirty Dancing,53
Dirty Dancing: Havana Nights,4
Dirty Harry,23
Dirty Mary Crazy Larry,1
Dirty Pretty Things,10
Dirty Rotten Scoundrels,21
Dirty Work,7
Disaster Movie,3
Disclosure,52
Distant,1
District 13: Ultimatum,1
District 9,53
District B13,4
Disturbia,10
Disturbing Behavior,5
Diva,14
Divergent,11
Divided We Fall,1
Divine Secrets of the Ya-Ya Sisterhood,6
Dixie Chicks: Shut Up and Sing,3
Django Unchained,44
Do the Right Thing,32
Doc Hollywood,3
Doctor Dolittle,39
Doctor Strange,1
Doctor Who: The Time of the Doctor,2
Doctor Zhivago,22
DodgeBall: A True Underdog Story,37
Dodsworth,2
Dog Day Afternoon,29
Dog Park,1
Dog Soldiers,4
Dogfight,3
Dogma,79
Dogs in Space,1
Dogtooth,3
Dogtown and Z-Boys,2
Dogville,8
Dolls,3
Dolores Claiborne,25
Dolphin Tale,1
Domestic Disturbance,2
Dominick and Eugene,1
Domino,2
Don Jon,5
Don Juan DeMarco,35
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6
Don't Look Now,4
Don't Say a Word,11
Don't Tell Her It's Me,1
Don't Tell Mom the Babysitter's Dead,9
Don't Tempt Me,1
Dona Flor and Her Two Husbands,1
Donnie Brasco,39
Donnie Darko,93
Donovan's Reef,1
Dont Look Back,1
Doom,5
Doomsday,1
Dopamine,1
Dope,4
Dorian Blues,1
Dorian Gray,1
Dorothy Mills,1
Dottie Gets Spanked,1
Double Happiness,2
Double Impact,1
Double Indemnity,32
Double Jeopardy,43
Double Take,1
Double Team,3
Double Trouble,1
Doubt,5
Doug's 1st Movie,1
Down Periscope,27
Down and Out in Beverly Hills,2
Down by Law,19
Down in the Delta,4
Down in the Valley,1
Down to Earth,3
Down to You,5
Down with Love,9
Downfall,20
Dr. Dolittle 2,4
Dr. Goldfoot and the Bikini Machine,1
Dr. Horrible's Sing-Along Blog,16
Dr. Jekyll and Mr. Hyde,1
"Dr. Mabuse, the Gambler",2
Dr. No,31
Dr. Phibes Rises Again,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,105
Dr. T and the Women,3
Dracula,62
Dracula 2000,4
Dracula Untold,1
Dracula: Dead and Loving It,18
Draft Day,1
Drag Me to Hell,3
Dragnet,4
Dragon Ball GT: A Hero's Legacy,1
Dragon Ball Z: Bardock - The Father of Goku,1
Dragon Ball Z: Battle of Gods,3
Dragon Ball Z: Bio-Broly,1
Dragon Ball Z: Broly - The Legendary Super Saiyan,1
Dragon Ball Z: Cooler's Revenge,1
Dragon Ball Z: Dead Zone,1
Dragon Ball Z: Fusion Reborn,1
Dragon Ball Z: Lord Slug,1
Dragon Ball Z: Return of Cooler,1
Dragon Ball Z: The History of Trunks,1
Dragon Ball Z: The Tree of Might,1
Dragon Ball Z: The World's Strongest,1
Dragon Ball Z: Wrath of the Dragon,1
Dragon Ball: Sleeping Princess in Devil's Castle,1
Dragon Ball: The Path to Power,1
Dragon Hunters,1
Dragon Lord,2
Dragon Wars: D-War,1
Dragon: The Bruce Lee Story,8
DragonHeart,62
Dragonball Evolution,1
Dragonfly,3
Dragonslayer,1
Drained,1
Dream Home,1
Dream a Little Dream,1
Dream for an Insomniac,2
Dream with the Fishes,1
Dreamcatcher,4
Dreamchild,1
Dreamer: Inspired By a True Story,2
Dreamgirls,4
Dreaming of Joseph Lees,1
Dreamscape,3
Dredd,10
Dressed to Kill,4
Drift,1
Drillbit Taylor,1
Drinking Buddies,2
Drive,15
Drive Hard,1
Drive Me Crazy,11
Driven,3
Driving Miss Daisy,40
Drop Dead Fred,11
Drop Dead Gorgeous,13
Drop Zone,16
Drowning Mona,7
Drowning by Numbers,1
Drugstore Cowboy,27
Drumline,4
Drunken Angel,1
Drunken Master,6
Duck Soup,34
"Duck, You Sucker",2
"Dude, Where’s My Car?",22
Dudley Do-Right,2
Due Date,5
Duel,4
Duel at Diablo,1
Duel in the Sun,3
Duets,2
Dumb and Dumber,158
Dumb and Dumber To,3
Dumb and Dumberer: When Harry Met Lloyd,4
Dumbo,42
Dummy,3
Dune,30
Dungeons & Dragons,10
Dunston Checks In,3
Duplex,6
Duplicity,3
Dutch,1
Dying Young,8
Dying of the Light,1
Dylan Dog: Dead of Night,1
"Dylan Moran: Like, Totally...",1
Dylan Moran: Monster,1
Dylan Moran: What It Is,1
DysFunktional Family,1
Déjà Vu,13
E.T. the Extra-Terrestrial,160
Eagle Eye,4
Eagle vs Shark,1
Early Summer,1
Earth Girls Are Easy,7
Earthquake,6
East Is East,9
East of Eden,16
East/West,4
Easter Parade,3
Eastern Promises,19
Easy A,14
Easy Money,1
Easy Rider,25
Eat Drink Man Woman,24
Eat Pray Love,2
Eat Sleep Die,1
Eaten Alive,1
Eating Raoul,5
Eaux d'artifice,1
Echelon Conspiracy,1
Ed,4
Ed Wood,78
Eddie,2
Eddie Murphy Raw,9
Eddie Murphy: Delirious,1
Eddie and the Cruisers,2
Eden,1
Eden Lake,2
Edge of Darkness,1
Edge of Seventeen,4
Edge of Tomorrow,26
Edtv,21
Educating Rita,4
Edward II,1
Edward Scissorhands,89
Eight Below,2
Eight Crazy Nights,3
Eight Legged Freaks,5
Eight Men Out,13
Eighteen,1
El Dorado,1
El Mariachi,14
El Norte,3
El Topo,5
El vals de los inútiles,1
Election,79
Electra Glide in Blue,1
Electric Dreams,1
Elegy,1
Elektra,10
Elektra Luxx,1
Elephant,10
Elf,27
Elite Squad,8
Elite Squad: The Enemy Within,5
Elizabeth,48
Elizabeth: The Golden Age,3
Elizabethtown,2
Ella Enchanted,6
Elmer Gantry,9
Elsa & Fred,1
"Elvira, Mistress of the Dark",3
Elvis That's the Way It Is,1
Elysium,14
Emergo,1
Emma,43
Emmanuelle,1
Empire,1
Empire Falls,1
Empire Records,10
Empire of Dreams: The Story of the Star Wars Trilogy,1
Empire of Passion,1
Empire of the Sun,14
Employee of the Month,2
Enchanted,15
Enchanted April,13
Encino Man,8
Encounters at the End of the World,4
End of Days,19
End of Watch,3
End of the Spear,1
Ender's Game,11
Endless Love,2
Endurance,1
Enemies: A Love Story,1
Enemy,4
Enemy Mine,4
Enemy at the Gates,37
Enemy of the State,67
Enigma,6
Enough,5
Enough Said,2
Enron: The Smartest Guys in the Room,7
Enter the Dragon,9
Enter the Void,2
Entourage,1
Entranced Earth,1
Entrapment,41
Envy,1
Epic,2
Epic Movie,2
Equilibrium,35
Equus,1
Eragon,9
Eraser,69
Eraserhead,14
Erik the Viking,1
Erin Brockovich,85
Ernest Goes to Camp,2
Ernest Saves Christmas,3
Ernest Scared Stupid,1
Escape from Alcatraz,3
Escape from L.A.,28
Escape from New York,48
Escape from the Planet of the Apes,13
Escape to Victory,2
Escape to Witch Mountain,18
Eternal Sunshine of the Spotless Mind,106
Eternity and a Day,2
Eulogy,2
Eureka,3
EuroTrip,16
Europa,2
Europa Europa,6
Evan Almighty,5
Evangelion: 1.0: You Are (Not) Alone,5
Evangelion: 2.0 You Can (Not) Advance,6
Evangelion: 3.0 You Can (Not) Redo,1
Eve's Bayou,2
Evelyn,2
Even Cowgirls Get the Blues,7
Even Dwarfs Started Small,1
Event Horizon,23
Ever After: A Cinderella Story,28
Everest,14
Every Little Step,4
Every Thing Will Be Fine,1
Every Which Way But Loose,5
Everybody's All-American,4
Everybody's Fine,1
Everyone Else,1
Everyone Says I Love You,17
Everyone's Hero,1
Everything Must Go,4
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,11
Everything is Illuminated,7
Everything or Nothing,1
Everything's Gonna Be Great,1
Evil,2
Evil Dead II,33
Evil Under the Sun,1
Evita,22
Evocateur: The Morton Downey Jr. Movie,1
Evolution,20
Ex Drummer,1
Ex Machina,26
Exam,3
Excalibur,16
Excess Baggage,5
Excision,2
Executive Decision,61
Executive Suite,1
Exit Through the Gift Shop,12
Exit Wounds,2
Exit to Eden,12
Exodus,2
Exodus: Gods and Kings,1
Exorcist II: The Heretic,2
Exotica,13
Experience Preferred...But Not Essential,1
Explorers,2
Extract,4
Extreme Days,1
Extreme Measures,5
Extreme Ops,2
Extreme Prejudice,1
Extremely Loud & Incredibly Close,1
Extremities,3
Eye for an Eye,7
Eye of the Beholder,6
Eye of the Needle,2
Eyes Wide Shut,63
Eyes Without a Face,7
Eyes of Laura Mars,9
F/X,21
F/X2,5
FAQs,1
Face to Face,1
Face/Off,83
Faces,1
Faces of Death,3
Faces of Death II,1
Faces of Death III,1
Faces of Death IV,1
Factory Girl,1
Fados,1
Fahrenheit 451,2
Fahrenheit 9/11,46
Fail-Safe,4
Failure to Launch,6
Fair Game,8
FairyTale: A True Story,2
Faithful,2
Fallen,13
Fallen Angels,2
Falling Down,31
Fame,8
Family Band: The Cowsills Story,1
Family Business,1
Family Guy Presents Stewie Griffin: The Untold Story,8
Family Plot,2
Fanboys,4
Fandango,5
Fando and Lis,1
Fanny,1
Fanny & Alexander,10
Fantasia,64
Fantasia 2000,17
Fantastic 4: Rise of the Silver Surfer,8
Fantastic Four,21
Fantastic Mr. Fox,23
Fantastic Planet,4
Fantastic Voyage,10
Far Cry,1
Far and Away,15
Far from Heaven,15
Far from Home: The Adventures of Yellow Dog,5
Far from the Madding Crowd,2
"Faraway, So Close!",2
Farewell My Concubine,9
"Farewell, My Lovely",1
Fargo,224
Farinelli,4
Fashion Victims,1
Fast & Furious,5
Fast & Furious 6,2
Fast Five,5
Fast Times at Ridgemont High,52
"Fast, Cheap & Out of Control",6
"Faster, Pussycat! Kill! Kill!",5
Fat Albert,1
Fat City,2
Fata Morgana,1
Fatal Attraction,49
Fatal Beauty,2
Fatal Instinct,9
Father Goose,4
Father of the Bride,35
Father of the Bride Part II,56
Fathers' Day,6
Faust,3
Fear,9
Fear and Loathing in Las Vegas,44
Fear of a Black Hat,2
FearDotCom,1
Fearless,17
Feast of July,1
Feeling Minnesota,3
Felicia's Journey,2
Fellini Satyricon,3
Felon,3
Felony,1
Female Perversions,1
Female Trouble,1
Female on the Beach,1
Femme Fatale,6
Fermat's Room,2
FernGully: The Last Rainforest,5
Ferris Bueller's Day Off,133
Festival Express,1
Fever Pitch,12
Fiddler on the Roof,13
Fido,3
Field of Dreams,67
Fierce Creatures,9
Fifty Shades of Grey,1
Fight Club,202
Film Socialisme,1
Filth,2
Final Destination,28
Final Destination 2,9
Final Destination 3,2
Final Destination 5,1
Final Fantasy VII: Advent Children,8
Final Fantasy: The Spirits Within,19
Find Me Guilty,1
Finding Dory,3
Finding Forrester,26
Finding Nemo,122
Finding Neverland,37
Finding Vivian Maier,1
Fingers,1
Fiorile,1
Fire Down Below,3
Fire and Ice,1
Fire in the Sky,1
Fire with Fire,1
Fired Up!,3
Firefox,2
Firelight,1
Fireproof,1
Firestarter,3
Firestorm,4
Firewall,3
Fireworks,4
Fireworks Wednesday,1
First Blood,18
First Kid,4
First Knight,43
First Monday in October,1
First Strike,13
Firstborn,1
Fish Tank,2
Fist of Fury,3
Fist of Legend,2
Fists in the Pocket,1
Fitzcarraldo,6
Five Corners,1
Five Easy Pieces,20
Five Minutes of Heaven,1
Five Times Two,1
Flags of Our Fathers,4
Flaming Creatures,1
Flash Gordon,7
Flashdance,30
Flatliners,20
Flawless,5
Fled,4
Flesh + Blood,1
Flesh Gordon,1
Flesh and Bone,7
Flesh for Frankenstein,1
Fletch,28
Fletch Lives,11
Flicka,1
Flickering Lights,1
Flight,9
Flight of the Intruder,1
Flight of the Navigator,17
Flight of the Phoenix,1
Flightplan,11
Flipped,2
Flipper,10
Flirt,3
Flirting,1
Flirting with Disaster,21
Flowers in the Attic,2
Flubber,16
Fluke,4
Flushed Away,7
Fly Away Home,14
Flyboys,2
Flying Tigers,1
Focus,3
"Follow Me, Boys!",1
Follow the Fleet,1
Following,4
Following Sean,1
"Food, Inc.",3
Fool for Love,1
Fool's Gold,1
Fools Rush In,10
Footloose,25
For All Mankind,1
For Love of the Game,15
For Love or Money,5
For Richer or Poorer,5
For Whom the Bell Tolls,4
For Your Consideration,2
For Your Eyes Only,18
For a Few Dollars More,14
"For a Good Time, Call...",1
For the Birds,4
For the Boys,3
For the Love of Benji,3
Forbidden Games,3
Forbidden Planet,9
Forbidden Zone,1
Force 10 from Navarone,6
Force Majeure,4
Force of Evil,1
Forces of Nature,12
Foreign Correspondent,5
Forever Fever,2
Forever Young,20
Forget Paris,34
Forgetting Sarah Marshall,22
Forgotten Silver,1
Forks Over Knives,1
Forrest Gump,341
Fortress,1
Foul Play,3
Four Brothers,4
Four Christmases,1
Four Days in September,1
Four Lions,5
Four Rooms,26
Four Weddings and a Funeral,122
Fox and His Friends,1
Foxcatcher,3
Foxfire,7
Fracture,6
Frailty,10
Frances,7
Frances Ha,4
Frank,3
Frank Herbert's Children of Dune,3
Frank Herbert's Dune,5
Frankenhooker,2
Frankenstein,15
Frankenstein Meets the Wolf Man,2
Frankie Starlight,1
Frankie and Johnny,1
Frantic,4
Fraternity Vacation,1
Freakonomics,1
Freaks,9
Freaky Friday,30
Freddy Got Fingered,7
Freddy vs. Jason,6
Freddy's Dead: The Final Nightmare,3
Free Enterprise,1
Free Fall,2
Free Willy,31
Free Willy 2 - The Adventure Home,8
Free Willy 3: The Rescue,3
Freedom Writers,1
Freejack,5
Freeway,10
French Kiss,60
French Twist,8
Frenzy,9
Frequency,41
Frequently Asked Questions About Time Travel,4
Fresh,6
Frida,13
Friday,22
Friday After Next,2
Friday Night Lights,4
Friday the 13th,17
Friday the 13th Part 2,9
Friday the 13th Part III,6
Friday the 13th Part VI: Jason Lives,4
Friday the 13th Part VII: The New Blood,1
Friday the 13th Part VIII: Jason Takes Manhattan,3
Friday the 13th: A New Beginning,2
Friday the 13th: The Final Chapter,6
Fried Green Tomatoes,40
Friendly Persuasion,2
Friends & Lovers,2
Friends and Family,1
Friends with Benefits,9
Friends with Kids,1
Friends with Money,1
Fright Night,12
Fright Night Part 2,2
Fritz the Cat,2
Frogs for Snakes,1
From Beyond,1
From Dusk Till Dawn,48
From Hell,20
From Here to Eternity,20
From Paris with Love,4
From Russia with Love,32
From Up on Poppy Hill,1
From the Earth to the Moon,3
From the Hip,2
From the Terrace,1
Frontier(s),1
Frost/Nixon,10
Frozen,12
Frozen Planet,1
Frozen River,3
Fruitvale Station,4
Fubar,1
Full Frontal,2
Full Metal Jacket,104
Fullmetal Alchemist the Movie: Conqueror of Shamballa,1
Fullmetal Alchemist: The Sacred Star of Milos,1
Fulltime Killer,1
Fun & Fancy Free,2
Fun with Dick and Jane,12
Funeral in Berlin,1
Funny Bones,1
Funny Face,12
Funny Farm,9
Funny Felix,1
Funny Games,12
Funny Girl,5
Funny Lady,1
Funny People,5
Furious 7,2
Fury,10
Futurama: Bender's Big Score,9
Futurama: Bender's Game,6
Futurama: Into the Wild Green Yonder,6
Futurama: The Beast with a Billion Backs,5
G-Force,2
G.I. Blues,1
G.I. Jane,27
G.I. Joe: Retaliation,2
G.I. Joe: The Rise of Cobra,6
G.O.R.A.,1
Gabbeh,1
Galaxy Quest,65
Galaxy of Terror,1
Gallipoli,7
Game Change,1
Game of Death,3
Gamer,4
Gandahar,1
Gandhi,46
Gangs of New York,35
Gangster Squad,4
Gangster's Paradise: Jerusalema,1
Gantz,1
Garden State,58
Gardens of Stone,3
Garfield,4
Garfield: A Tail of Two Kitties,2
Gas Food Lodging,1
Gasland,1
Gaslight,14
Gates of Heaven,1
Gattaca,84
Gay Purr-ee,1
Generation Kill,1
Genghis Blues,1
Gentleman's Agreement,7
Gentlemen Broncos,2
Gentlemen Prefer Blondes,6
Gentlemen of Fortune,2
Geography Club,2
George Carlin: Back in Town,1
George Carlin: It's Bad for Ya!,1
George Carlin: Jammin' in New York,1
George Carlin: Life Is Worth Losing,1
George Carlin: You Are All Diseased,1
George Harrison: Living in the Material World,1
George Washington,1
George of the Jungle,17
Georgia,6
Georgy Girl,1
Geri's Game,1
Germany Year Zero,1
Germinal,1
Geronimo: An American Legend,4
Gerontophilia,1
Gerry,2
Get Bruce!,3
Get Carter,8
Get Hard,4
Get Him to the Greek,8
Get Out Your Handkerchiefs,1
Get Over It,3
Get Real,6
Get Rich or Die Tryin',1
Get Shorty,95
Get Smart,13
Get Your Stuff,1
Get on Up,1
Get on the Bus,2
Getaway,1
Getting Even with Dad,2
Getting Go: The Go Doc Project,1
Getting It Right,1
Gettysburg,5
Ghost,126
Ghost Dad,1
Ghost Dog: The Way of the Samurai,20
Ghost Rider,7
Ghost Rider: Spirit of Vengeance,1
Ghost Ship,5
Ghost Town,4
Ghost World,36
Ghost in the Shell,27
Ghost in the Shell 2.0,1
Ghost in the Shell 2: Innocence,3
Ghostbusters,148
Ghostbusters II,43
Ghosts of Girlfriends Past,5
Ghosts of Mars,6
Ghosts of Mississippi,8
Ghoulies,3
Ghoulies II,2
Gia,4
Giant,11
Gidget,2
Gigantic,1
Gigantic (A Tale Of Two Johns),2
Gigantics,1
Gigi,11
Gigli,2
Gilda,8
Ginger Snaps,4
Ginger Snaps Back: The Beginning,1
Ginger and Fred,1
Girl,1
Girl 6,5
Girl Model,1
Girl with a Pearl Earring,4
"Girl, Interrupted",20
Girlfight,3
Girlhood,1
